name
Albania
Algeria
American Samoa (United States)
Afghanistan
Andorra
Angola
Anguilla (United Kingdom)
Antigua and Barbuda
Argentina
Armenia
Aruba (Netherlands)
Australia
Austria
Azerbaijan
Bahamas
Bahrain
Bangladesh
Barbados
Belarus
Belgium
Belize
Benin
Bermuda (United Kingdom)
Bhutan
Bolivia (Plurinational State of)
Bonaire (Netherlands)
Bosnia And Herzegovina
Botswana
Brazil
British Virgin Islands (United Kingdom)
Brunei Darussalam
Bulgaria
Burkina Faso
Burundi
Cabo Verde
Cambodia
Cameroon
Canada
Cayman Islands (United Kingdom)
Central African Republic
Chad
Chile
China
Chinese Taipei
Colombia
Comoros
Congo (Dem. Rep. of the)
Congo (Rep. of the)
Cook Islands (New Zealand)
Costa Rica
Cote d' Ivoire
Croatia
Cuba
Curacao (Netherlands)
Cyprus
Czech Republic
Denmark
Djibouti
Dominica
Dominican Republic
Ecuador
Egypt
El Salvador
Equatorial Guinea
Eritrea
Estonia
Ethiopia
Falkland Islands (United Kingdom)
Faroe Islands (Denmark)
Fiji
Finland
France
French Guiana (France)
French Polynesia (France)
Gabon
Gambia (Rep. of the)
Georgia
Germany
Ghana
Gibraltar (United Kingdom)
Greece
Greenland (Denmark)
Grenada
Guadeloupe (France)
Guam (United States)
Guatemala
Guernsey (United Kingdom)
Guinea
Guinea-Bissau
Guyana
Haiti
Honduras
Hong Kong (China)
Hungary
Iceland
India
Indonesia
Iran (Islamic Rep. of)
Iraq
Ireland
Isle of Man (United Kingdom)
Israel
Italy
Jamaica
Japan
Jersey (United Kingdom)
Jordan
Kazakhstan
Kenya
Kiribati
Korea (Dem. People's Rep. of)
Korea (Rep. of)
Kosovo
Kuwait
Kyrgyzstan
Lao Peoples Democratic Rep.
Latvia
Lebanon
Lesotho
Liberia
Libya
Liechtenstein
Lithuania
Luxembourg
Macau (China)
Macedonia (Former Yugos. Rep. of)
Madagascar
Malawi
Malaysia
Maldives
Mali
Malta
Marshall Islands
Martinique (France)
Mauritania
Mauritius
Mayotte (France)
Mexico
Micronesia (Fed. States of)
Moldova (Rep. of)
Monaco
Mongolia
Montenegro
Montserrat (United Kingdom)
Morocco
Mozambique
Myanmar
Namibia
Nauru
Nepal
Netherlands
New Caledonia (France)
New Zealand
Nicaragua
Niger
Nigeria
Niue (New Zealand)
Northern Mariana Islands (United States)
Norway
Oman
Pakistan
Palau
Palestine
Panama
Papua New Guinea
Paraguay
Peru
Philippines
Poland
Portugal
Puerto Rico (United States)
Qatar
Reunion (France)
Romania
Russian Federation
Rwanda
Saint Helena
Ascension and Tristan Da Cunha (United Kingdom)
Saint Kitts And Nevis
Saint Lucia
Saint Pierre and Miquelon (France)
Saint Vincent and the Grenadines
Samoa
San Marino
Sao Tome and Principe
Saudi Arabia
Senegal
Serbia
Seychelles
Sierra Leone
Singapore
Slovakia
Slovenia
Solomon Islands
Somalia
South Africa
South Sudan
Spain
Sri Lanka
St. Maarten (Netherlands)
Sudan
Suriname
Swaziland
Sweden
Switzerland
Syrian Arab Republic
Tajikistan
Tanzania (United Rep. of)
Thailand
Timor-Leste
Togo
Tonga
Trinidad and Tobago
Tunisia
Turkey
Turkmenistan
Turks and Caicos Islands (United Kingdom)
Tuvalu
Uganda
Ukraine
United Arab Emirates
United Kingdom (of Great Britain and Northern Ireland)
United States of America
Uruguay
Uzbekistan
Vanuatu
Vatican (Holy See)
Venezuela (Bolivarian Rep. of)
Vietnam
Yemen
Zambia
Zimbabwe
